,lqr,sparse_lqr,sparse_max_discrete,sparse_max_continuous,null_model_1,null_model_2,hill_climbing
31,-139.680786836825,-106.82696022790309,-102.82573457139318,-105.97467237725148,-101.67126319305515,-106.89145779478949,-95.87548240056081
32,-142.5104405584413,-53.61897464653218,-55.16008681023346,-56.86444774867882,-61.44458403173796,-54.790322304384226,-48.823684163602564
33,-121.77817048365497,-76.62854788468128,-76.88315975077701,-76.90330897955756,-89.79705312828251,-76.00418662358676,-76.59946864375803
34,-132.35273890580413,-92.56742360362732,-92.05313513289067,-93.89237156838277,-99.84062871746175,-92.16967433239083,-93.48786867369277
35,-126.37335337205649,-84.04057692664342,-64.16192787188524,-77.53577273248324,-88.96550278719667,-82.85558967957961,-69.97880413399922
36,-137.97017027589544,-64.52862195680062,-68.12861050374605,-67.76214762206274,-68.88166193900854,-69.8012142821704,-66.72177448171364
37,-135.11050701405316,-81.85776864307411,-75.29430963818513,-86.363917521527,-83.12012885721235,-84.9493106372842,-80.80952055250815
38,-117.97856888377488,-62.54353122499151,-52.643920033867936,-56.44943997179293,-81.75130695910053,-65.96198349419292,-45.85683048450534
39,-125.58106498099221,-38.61447609310161,-43.536571250890894,-42.126985612548175,-38.750627923723414,-39.857737044784535,-39.941466299921395
40,-123.06541239270051,-88.58159381938746,-90.39617434506454,-91.20153623057075,-93.30848637019398,-87.79436725220184,-89.26570846851413
41,-100.13907169675271,-66.87579980609252,-69.72141420284738,-68.93062314935436,-77.37629219824451,-67.41649827520814,-68.73442107219087
42,-131.04126268335548,-105.46852923874451,-87.61494133462156,-88.04023252184484,-108.72137884479025,-95.16235893734061,-84.64235145898283
43,-114.10415816756999,-62.63150749150357,-65.0223123390981,-43.761348392026896,-75.2070677493566,-63.06289161657263,-44.57689533682806
44,-131.62864302667222,-104.14851166391523,-104.13604817158729,-105.28013860307088,-105.4954597527285,-106.28946823322029,-102.73274895554073
45,-114.29739812099501,-74.30008378255614,-68.86401142591298,-69.14034041670986,-100.82191903588097,-74.41664126454076,-74.23325958834683
46,-91.80218918367325,-61.62793465699048,-65.75586423904019,-62.531737535300586,-39.1583652334833,-63.382638621742835,-63.32125776672719
47,-124.95140990030556,-77.66090301704436,-53.13119839820038,-53.177247503778894,-75.49205812799725,-51.09279369003139,-52.09806576172084
48,-123.14506514137211,-71.70130367711694,-72.3845289476071,-73.59123914505176,-66.26278726434079,-71.82177917762428,-73.2026116942886
49,-140.33336992058727,-72.34745217434168,-71.8041917912489,-68.24274302535144,-60.96022415457483,-72.49506574503009,-73.04647686393587
50,-114.20599707973389,-117.27416370657627,-74.8779961600723,-71.00933755786497,-100.80503724709415,-85.3826460314941,-68.43530463334203
51,-129.05571638551456,-116.40414438671455,-107.63046261599433,-113.29397623873871,-118.97316641037268,-116.15857668595162,-107.69567278372747
52,-142.62724958905497,-84.90105153493941,-77.73633824574642,-86.54231680758168,-86.43983907356593,-83.44020532925423,-81.31826081475899
53,-104.69213184787053,-91.37174473239435,-86.82286399836887,-75.4845959724548,-86.44184140906157,-89.92976256737835,-82.27486404594814
54,-122.83956524167827,-74.66255939687251,-77.87521664277409,-76.77450721474605,-86.79789741131631,-75.3437503472713,-77.68777607977745
55,-119.31478153544269,-69.14347051791464,-68.74500109468154,-70.44616615455352,-79.73700014337007,-67.82552343363618,-69.00047571749579
56,-112.44808817967657,-99.62591629233715,-99.8660368530804,-94.84302651901889,-110.25136729571595,-100.61270535224081,-98.84695765080431
57,-128.3696695464303,-93.24154069415094,-88.89060799047262,-94.37786460521365,-115.24621199703783,-97.66950849272396,-99.08555558743069
58,-127.17631030804661,-103.21033694897886,-95.66806791261213,-103.97715727129308,-103.89652722020239,-102.4428217325026,-96.04625029964333
59,-88.19001840026088,-68.33692044386183,-65.87734021925185,-70.1317297937482,-84.8899090728304,-74.23711381995031,-66.58520774845452
60,-135.40859424466615,-61.531788148378126,-62.134415278489165,-57.775813483695934,-70.5944858079555,-62.659509312633446,-50.29572620097383
61,-127.91644134970285,-87.36727708348882,-81.32548724937784,-72.36712059694916,-84.6395785600998,-87.1385037056281,-79.49707235243336
62,-128.9541595248864,-87.08545802368845,-80.83943315001038,-78.98567945845885,-85.95138948427267,-87.58319545998589,-75.63808428935361
63,-109.08201663089083,-96.02854255925787,-92.31123773896452,-93.30562581185737,-93.64315256371906,-95.75980832527985,-91.04047289095375
64,-137.52222336555923,-123.5018656568579,-120.68955183236979,-124.61050105545996,-121.59107469238344,-121.33668160418178,-118.36512291477631
65,-123.41891058047744,-93.47399973126836,-87.55088885389819,-87.55420007273058,-91.67591349582163,-93.8536208551537,-82.97671746533004
66,-118.43853026707133,-92.06202691057096,-91.20440076809176,-95.9468707740137,-99.57372448211267,-90.8380403996661,-92.40709579562903
67,-142.17260175998035,-123.67038256428997,-119.66695828152825,-110.17083357725546,-127.77596368083937,-120.73700931869958,-112.43654026617351
68,-119.22598133714169,-103.59304808590487,-91.95634323493913,-99.30231324463003,-110.93895926407873,-102.42159113699581,-94.51227011827339
69,-128.82739026094015,-68.87949343074918,-63.929417626080784,-66.36787315737644,-84.2116753899753,-69.78549996641051,-67.48124931093567
70,-140.26481973053802,-62.75665763458092,-65.60334264653036,-69.59994582995897,-92.31204484957617,-63.889167253862325,-65.43055057880622
71,-140.00301133625177,-124.25921215111987,-129.8345730698481,-131.74129415306618,-136.55911588768933,-126.32351226511663,-130.59044152576627
72,-133.17036926197386,-100.0873971801743,-97.90118346660864,-104.41897864413485,-104.56691402731477,-102.38138801790461,-86.09819554514334
73,-137.6951111323715,-84.11341039540748,-76.70240631825772,-81.32957349540526,-78.8083603270598,-82.94413754159628,-81.88192956205431
74,-111.44920189202979,-95.11447295022074,-85.97306343645593,-95.24394803414947,-101.79473716198969,-95.06891503947557,-90.50619934156971
75,-127.43025142565213,-66.03487818452528,-66.00017242452098,-62.88955231846754,-76.7252326413538,-64.86381668914235,-60.36520732714732
76,-82.99650844465278,-41.96411087211251,-43.05671941581545,-53.105384399543134,-64.19786145591348,-42.3392759233659,-40.76749476542108
77,-109.40324304227327,-55.768967765237946,-61.15818567497714,-60.97066832252738,-75.72097145025506,-59.05530680962193,-43.167686922803966
78,-121.26845558264013,-96.79295428997239,-82.38653825528012,-93.89042348886144,-105.82717104198727,-96.33368338420927,-87.02685379299903
79,-117.65913855244105,-92.2471144804521,-106.1497500980259,-107.28426870331431,-111.83762023350452,-103.25590380029541,-106.13297606826566
80,-120.93553049726515,-90.78725302466184,-89.13519002724375,-93.44155845049384,-94.33444197388549,-93.29683342157419,-93.42661374897021
81,-106.74195988459591,-81.01599902228297,-91.24127183225373,-91.42961119902073,-98.44484414085301,-88.83460265310066,-90.33824400446497
82,-138.46391732558584,-92.19596466024265,-96.2535003723308,-103.15517231246028,-104.36735539805034,-93.93046636049901,-95.54527319683615
83,-134.88713520885057,-67.80488264602859,-60.95647593451207,-65.36107770617339,-65.93002385305839,-68.44682600697938,-65.63148030417169
84,-134.39862683004893,-87.11638344108208,-90.31483765317714,-93.22505907769322,-92.342144080462,-87.84496042219835,-88.72116088382144
85,-140.49625454447735,-90.83278069506973,-85.1306185904378,-96.90226747177229,-118.2783846122333,-93.76404464579417,-95.2847542789097
86,-134.88602040965375,-91.99779161796447,-88.7866701626981,-94.79467334538353,-91.04014626972895,-93.94333952499385,-93.43847759636081
87,-127.90301844025772,-82.57520224523135,-83.69830611126868,-80.14932643217837,-85.6874435741526,-85.39498647423466,-83.87538542122657
88,-113.84270825260693,-81.99776693834745,-80.39015813766926,-81.36837958788139,-92.00906716483168,-84.89176589660683,-73.47452844599432
89,-124.4205834086282,-83.12059246346827,-83.09457807426327,-79.41716558446656,-78.8101593893909,-82.44341218920935,-82.13756335416643
