,lqr,sparse_lqr,sparse_max_discrete,sparse_max_continuous,null_model_1,null_model_2,hill_climbing
79,-117.356553459447,-88.71297228718036,-105.16524455412704,-105.87920470755468,-115.15633938043155,-102.95331870730135,-104.61035733980188
80,-120.63294540427108,-90.2221590353552,-94.3839996432202,-91.8504975546875,-97.67446635683481,-92.97639767916606,-92.3660537913484
81,-106.44331335478341,-78.01366755449409,-91.05516218920685,-86.43974013100815,-99.44689649032705,-88.52829282608626,-90.40326998076866
82,-138.10502326025636,-92.80302531215774,-96.9504117437448,-98.07390322062544,-104.92516901251028,-93.62661300732876,-96.08644409432985
83,-134.5829222417773,-65.98697179978376,-61.49276698864386,-59.64359381746536,-68.1209365120258,-68.14424091398533,-65.56093303392218
84,-134.09468852549242,-86.44075981553145,-92.6198870406916,-92.54297733611084,-93.73422900756408,-87.54237532920429,-88.30505511919554
85,-140.1926666723901,-89.95123619238657,-95.92165423923728,-96.2970972857842,-117.361769589221,-93.46145955280012,-94.70015148460485
86,-134.58801535452187,-90.34346301513737,-96.1248721698502,-94.42667886512442,-87.37489315382278,-93.64078973687212,-91.4722434968288
87,-127.6039387821932,-81.12132460687091,-87.11360535576887,-85.19343542084457,-87.2703125892769,-85.09408325852068,-78.1950708054336
88,-113.53879052136145,-78.1512789675854,-78.06766351412251,-84.09474967565963,-94.39804258624805,-84.58918080361279,-72.84836818513507
89,-124.1329036744921,-81.6667148239772,-83.20975414492607,-81.68418248188911,-77.66452083947541,-82.14082709621529,-81.8736794613394
90,-119.95983674968186,-104.01105740224541,-100.06987118935844,-103.08351902167524,-110.499725903529,-103.86688557078325,-102.46008058991416
91,-132.8278598360199,-101.78872529700172,-109.012049060089,-106.7383681036885,-127.29461251460245,-109.31726032648692,-112.01246515243484
92,-246.8529957452845,-214.88995365349768,-195.37154642091355,-195.37172238501137,-286.91719942485884,-193.4546600991754,-194.38583577139457
93,-104.80646034080203,-98.22880598694086,-103.52585007438715,-103.90343824697526,-111.21059049802342,-104.61069832648121,-96.99772111980349
94,-133.2437424721192,-109.14114075098551,-106.09022175528926,-109.51064862135014,-125.7126193011448,-110.05182922139765,-104.8903462902817
95,-146.31886726474693,-121.0751293699876,-116.04669430499244,-117.62375559324636,-121.3579493456348,-120.83791409615705,-114.77332094880272
96,-133.36469924273206,-116.00938607192928,-112.32493982858058,-104.89950387069806,-120.03054350503555,-115.94059865704985,-107.7802825568746
97,-105.10402254425085,-88.40718222560358,-92.81243511463956,-91.001607654825,-106.70329528664443,-90.4451310774208,-94.70255526608872
98,-98.68403932272965,-84.11206012178562,-91.8419739273202,-84.5900079797972,-93.95074064867026,-86.54974921161926,-85.87018654040455
99,-125.9100923741472,-80.90361347917367,-88.38535059474535,-81.12523602313091,-96.84283801762716,-80.84123198941211,-82.07804134504609
100,-103.8486859110364,-78.87431226483264,-81.05127698769627,-73.05957035238184,-90.56579076809228,-79.48582056388595,-74.96068036104644
101,-130.75230445667006,-83.52989197891822,-88.00334211004497,-87.45968818143213,-97.13667705480948,-85.50060381943723,-87.49669234913935
102,-136.0112017718289,-72.81776853867628,-67.58244106555513,-66.8193201300991,-91.81337515281682,-75.0798431918537,-74.53364981487026
103,-111.4748455865247,-74.18934326416988,-68.30786077496627,-76.28680254092485,-102.99449840773028,-75.14666389702559,-74.24053342531855
104,-135.8598943631498,-99.82641871384216,-97.5156575915178,-104.86159357862816,-108.35293306473308,-101.35278619365904,-102.86897519796113
105,-102.53744469451422,-51.016844924779,-52.9936892799687,-54.34536469843456,-56.03932586996806,-51.00586437853126,-39.348345351853425
106,-138.6578912420665,-88.26295319686199,-92.44295416690952,-92.02801848351145,-90.49448094435738,-88.03612692581447,-88.94176997999644
107,-140.38106549295225,-101.33220513929648,-87.92853700603253,-101.69793954387906,-109.24192207853248,-102.51287438508592,-103.90510027852766
108,-138.43684970696012,-90.4840920657515,-81.83674025347884,-88.87860459409325,-99.56977363130272,-92.34163508370543,-81.18182391733922
109,-131.64793980348296,-66.00418439715486,-70.28785074636825,-69.86353294120701,-44.4370623112916,-67.31755210943427,-61.93423071692469
110,-137.55616754914325,-82.7207361772294,-72.06434535066325,-83.40066078555857,-87.95359104762987,-85.06609658393295,-63.39126943577496
