,Unnamed: 0,b,exp_param,n,vm_param,pp_id,ll,AIC,agent_type
0,0,1.7498091027650118,0.0573362475718883,1.7865685011954482,8.993342250328814,5f35d76793a88f0023c8d689,-56.8900132,121.7800264,null_model_1
0,0,5.087381799196933,0.0119342771422771,4.799576116755663,4.004037008204423,5f35d90b93a88f0023c8d8cf,-72.5263872,153.0527744,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d73993a88f0023c8d677,-88.4400893,184.8801786,null_model_1
0,0,10.38964055850577,0.032387930709699,3.493970306924551,1.3214076849278744,5f35d77893a88f0023c8d690,-98.0266112,204.0532224,null_model_1
0,0,4.45656019244126,0.0743931877057632,1.0589751635997875,9.71820072977926,5f35d77893a88f0023c8d691,-59.14199789999999,126.2839958,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d63393a88f0023c8d617,-87.49446739999999,182.9889348,null_model_1
0,0,4.419512946706218,0.0428356927296962,1.1975855385332572,1.5045502836766345,5f35d79b93a88f0023c8d6aa,-97.5380435,203.076087,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d63193a88f0023c8d616,-86.6629181,181.3258362,null_model_1
0,0,15.052503974264033,0.013021246935261,2.0729244472183037,5.622641500485538,5f35d65393a88f0023c8d623,-66.86303000000001,141.72606000000002,null_model_1
0,0,1.069412136675478,0.0402962513773092,2.169888900487245,3.183141864242839,5f35d6f793a88f0023c8d65f,-77.5463607,163.0927214,null_model_1
0,0,1.182066581557693,0.0327046698086015,3.6514492338822526,4.436674876598196,5f35da2c93a88f0023c8db97,-77.63569770000001,163.27139540000002,null_model_1
0,0,4.45656019244126,0.0743931877057632,1.0589751635997875,9.71820072977926,5f35d6bc93a88f0023c8d64b,-36.4480418,80.8960836,null_model_1
0,0,8.682778337658128,0.0195576259752321,1.280088574876889,4.863451109370319,5f35d7f093a88f0023c8d716,-91.0059013,190.0118026,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d7d693a88f0023c8d6f7,-75.0737053,158.1474106,null_model_1
0,0,14.113387219441767,0.0026570318243235,1.0350541983576995,3.4800631566612794,5f35d72493a88f0023c8d66f,-104.0123495,216.024699,null_model_1
0,0,8.071454611223356,0.0150782018982505,3.863782797849578,5.644983202408741,5f35d7fa93a88f0023c8d725,-72.90448280000001,153.80896560000002,null_model_1
0,0,2.407241724955473,0.0161998043947111,2.196745477761696,2.097683587540705,5f35d86c93a88f0023c8d7e9,-102.8353005,213.670601,null_model_1
0,0,4.419512946706218,0.0428356927296962,1.1975855385332572,1.5045502836766345,5f35d79293a88f0023c8d6a1,-98.5193327,205.0386654,null_model_1
0,0,2.5841971826928583,0.0650591777370278,1.0264053753826097,9.602428151132344,5f35d97e93a88f0023c8d9d4,-36.487874600000005,80.97574920000001,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d72593a88f0023c8d671,-75.9449687,159.8899374,null_model_1
0,0,1.020172619918395,0.0042554370447582,1.6995313350731238,6.778508843893775,5f35d7d393a88f0023c8d6f4,-71.4545907,150.9091814,null_model_1
0,0,6.229597006109648,0.0244318937549378,3.7627228933588017,7.13310935384421,5f35d90c93a88f0023c8d8d0,-56.5744516,121.1489032,null_model_1
0,0,17.94982727620328,0.001,5.0,9.09223331904102,5f35da4f93a88f0023c8dc28,-98.7505941,205.5011882,null_model_1
0,0,4.419512946706218,0.0428356927296962,1.1975855385332572,1.5045502836766345,5f35d8b893a88f0023c8d833,-117.3482398,242.6964796,null_model_1
0,0,5.430076069045132,0.1298470081581338,1.4210501066511476,1.7272746332288005,5f35d71c93a88f0023c8d66e,-84.1372543,176.2745086,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35db0b93a88f0023c8ded5,-84.13925649999999,176.27851299999998,null_model_1
0,0,3.819173378164392,0.0106855249170264,1.047305759210848,4.097113928184032,5f35d83093a88f0023c8d771,-83.42867439999999,174.85734879999998,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d6b193a88f0023c8d648,-83.3523849,174.7047698,null_model_1
0,0,1.4753304437368917,0.0228894329363959,2.7446199100612896,1.6882703720769088,5f35dab593a88f0023c8dda2,-106.7597837,221.5195674,null_model_1
