,Unnamed: 0,exp_param,vm_param,pp_id,ll,AIC,agent_type
0,0,0.0638923354102758,4.397413664375494,5f35d82093a88f0023c8d751,-67.483003,138.966006,null_model_2
0,0,0.0340375464575271,7.492225954068809,5f35d93793a88f0023c8d930,-61.584317,127.168634,null_model_2
0,0,0.0024844921134907,1.757445404112119,5f35dae093a88f0023c8de20,-124.020927,252.041854,null_model_2
0,0,0.0187410310561593,2.0284890542502487,5f35d9ad93a88f0023c8da5b,-100.074268,204.148536,null_model_2
0,0,0.0193043229052754,4.165506942270442,5f35dc9193a88f0023c8e6bd,-80.641522,165.283044,null_model_2
0,0,0.0802280516950934,1.51554186431633,5f35dcae93a88f0023c8e7a3,-92.766403,189.532806,null_model_2
0,0,0.0339060818154006,7.141495108356263,5f35d91293a88f0023c8d8e2,-62.561113,129.122226,null_model_2
0,0,0.0239916000052984,9.976349921338777,5f35dafe93a88f0023c8de97,-40.050097,84.100194,null_model_2
0,0,0.0554746438565842,7.544471095223738,5f35db9193a88f0023c8e13f,-56.752646,117.505292,null_model_2
0,0,0.1080808911841857,1.2255194457891372,5f35d7f393a88f0023c8d71a,-94.031097,192.062194,null_model_2
0,0,0.0175101971964892,1.9631368005940495,5f35d94f93a88f0023c8d95c,-100.958704,205.917408,null_model_2
0,0,0.0126441197304937,3.3269652960220086,5f35d72b93a88f0023c8d674,-90.972243,185.944486,null_model_2
0,0,0.0181779583069283,3.420063001444169,5f35df1293a88f0023c8f3db,-86.528292,177.056584,null_model_2
0,0,0.0131513370142587,3.191776803786885,5f35d81193a88f0023c8d742,-91.626695,187.25339,null_model_2
0,0,0.0355864277682716,6.035913068917491,5f35df8293a88f0023c8f57b,-66.14424,136.28848,null_model_2
0,0,0.0737946029630787,2.0910001512302703,5f35e00093a88f0023c8f758,-85.542376,175.084752,null_model_2
0,0,0.0465739471745263,1.9946154411691364,5f35e11793a88f0023c8fa8c,-91.461459,186.922918,null_model_2
0,0,0.0412789347010558,2.0654331480559938,5f35dfdb93a88f0023c8f6da,-91.64079,187.28158,null_model_2
0,0,0.0275526802471374,3.318035507570735,5f35df8793a88f0023c8f599,-83.091686,170.183372,null_model_2
0,0,0.0506848579349715,2.675074162272948,5f35e09e93a88f0023c8f979,-82.589181,169.178362,null_model_2
0,0,0.0326331857534751,3.452061070785213,5f35e0a193a88f0023c8f986,-80.139284,164.278568,null_model_2
0,0,0.062943615094288,1.055639912893409,5f35e37d93a88f0023c8ffdc,-101.866884,207.733768,null_model_2
0,0,0.0067396777649946,2.201623045765108,5f35e94193a88f0023c905da,-107.324409,218.648818,null_model_2
0,0,0.0010005715693499,4.167624593423669,5f35e70693a88f0023c90462,-191.509358,387.018716,null_model_2
0,0,0.0256169434780953,1.708227134051994,5f35e76793a88f0023c90491,-102.639059,209.278118,null_model_2
0,0,0.0061009293769494,2.3806023050739924,5f35e93693a88f0023c905d9,-108.061384,220.122768,null_model_2
0,0,0.0015464377132506,2.4588306405736,5f360ea493a88f0023c908e6,-118.837914,241.675828,null_model_2
0,0,0.009650817390476,1.5099073702538437,5f360f4693a88f0023c908ef,-113.981347,231.962694,null_model_2
0,0,0.0854557906903371,1.7671382034895389,5f360ee993a88f0023c908e8,-88.445131,180.890262,null_model_2
0,0,0.0759393551429734,2.1491584064287483,5f360eea93a88f0023c908e9,-84.54975,173.0995,null_model_2
0,0,0.0239136853672767,4.051951337603033,5f3610a993a88f0023c90912,-78.841,161.682,null_model_2
0,0,0.0197644762314424,3.4234568051393555,5f36121793a88f0023c9095f,-77.474107,158.948214,null_model_2
0,0,0.0327505632084743,2.925825004566577,5f3612ca93a88f0023c909a0,-83.514462,171.028924,null_model_2
0,0,0.036598003535212,4.438356967605542,5f360f1993a88f0023c908ea,-73.079547,150.159094,null_model_2
0,0,0.0238922161910593,5.190823222119895,5f36107b93a88f0023c9090e,-73.146664,150.293328,null_model_2
0,0,0.0067756051872222,2.96475301368318,5f36101b93a88f0023c90907,-99.35284,202.70568,null_model_2
0,0,0.2720267927665056,5.221535872982264,5f360ff993a88f0023c90904,-49.005865,102.01173,null_model_2
0,0,0.0648160984216953,2.14933781904752,5f361ea793a88f0023c90f71,-86.036128,176.072256,null_model_2
0,0,0.0490170720136635,1.328842120256296,5f361f5693a88f0023c90f72,-100.512874,205.025748,null_model_2
0,0,0.0163987387522325,3.061072173683388,5f3626b693a88f0023c91063,-90.340226,184.680452,null_model_2
0,0,0.0403507891282629,5.988463345094903,5f362fb593a88f0023c91191,-65.317736,134.635472,null_model_2
0,0,0.0585783397681923,2.496415936198485,5f362dee93a88f0023c91131,-83.066096,170.132192,null_model_2
