,Unnamed: 0,attention_cost,exp_param,step_size,vm_param,weighting,pp_id,pp_closeness,pp_final_reached,ll,AIC,agent_type
0,0,1.932472469003551,0.05382666815546566,0.02347614740412912,3.5682884808965025,0.4,5f35d61893a88f0023c8d60c,564.0093085313798,0,-84.60478356997773,177.20956713995548,sparse_least_squares
0,0,21.864367796887283,0.08144091062042971,0.06319332377835052,6.9295423034707415,0.4,5f35d72f93a88f0023c8d675,117.17617776817957,0,-50.10122401206648,108.20244802413296,sparse_least_squares
0,0,0.5964040151938677,0.027184775890841558,0.04245973203119191,2.462110676030459,0.4,5f35d7da93a88f0023c8d703,106.27155930223628,1,-80.20974523154334,168.41949046308667,sparse_least_squares
0,0,12.805189328445351,0.10589401362040232,0.05701327252757171,8.129709675109433,0.4,5f35d64493a88f0023c8d61e,121.3492508068894,0,-59.96102300162016,127.92204600324033,sparse_least_squares
0,0,3.8014015154076835,0.24502239654576685,0.11901237443747842,3.0285830471757857,0.4,5f35d74293a88f0023c8d67c,24.80019503120565,1,-69.49437082405825,146.9887416481165,sparse_least_squares
0,0,12.623466377465574,0.010556321184370904,0.02233861063679016,2.0788610699144616,0.4,5f35d67e93a88f0023c8d634,275.87328133851827,0,-105.92989481688136,219.85978963376274,sparse_least_squares
0,0,3.5310393282082613,0.039354728360602095,0.06054117369605561,4.0267872426402125,0.4,5f35d78493a88f0023c8d69f,87.34193340022581,0,-60.81526844054039,129.6305368810808,sparse_least_squares
0,0,12.498634154128315,0.011005595961800231,0.0030880924539338213,2.737964959777913,0.4,5f35d7a693a88f0023c8d6b2,323.9812090612665,0,-114.51336039038242,237.02672078076483,sparse_least_squares
0,0,7.3749849527106655,0.022121232143520204,0.02795763418629571,3.3293926702543555,0.4,5f35d6aa93a88f0023c8d642,252.91149644500962,0,-106.19738308794823,220.39476617589648,sparse_least_squares
0,0,18.749313830563622,0.014392682445697963,0.027873425554852168,2.9279465895868664,0.4,5f35d68993a88f0023c8d637,250.0914181285331,0,-87.8912280734525,183.782456146905,sparse_least_squares
0,0,3.1491265493824896,0.02294525661068281,0.054702823452466964,4.585128497715966,0.4,5f35d71a93a88f0023c8d66c,183.53989814512727,0,-80.79095211420432,169.58190422840863,sparse_least_squares
