Unnamed: 0,Unnamed: 0.1,situation,llh_sparsemax_to_lqr,llh_sparsemax_to_sparsemax,llh_sparsemax_to_nm2,llh_lqr_to_sparsemax,llh_lqr_to_lqr,llh_lqr_to_nm2,llh_nm2_to_sparsemax,llh_nm2_to_lqr,llh_nm2_to_nm2,sparsemax_score_deterministic,sparsemax_score_noisy,lqr_score,nm2_score_deterministic,nm2_score_noisy,starting_cost,min_llh_diff,sum_llh_diff,AIC_sparsemax_to_sparsemax,AIC_sparsemax_to_lqr,AIC_sparsemax_to_nm2,AIC_lqr_to_sparsemax,AIC_lqr_to_lqr,AIC_lqr_to_nm2,AIC_nm2_to_sparsemax,AIC_nm2_to_lqr,AIC_nm2_to_nm2,sparsemax_generated_posterior,lqr_generated_posterior,nm2_generated_posterior,posterior_sum,ease,condition,root_cost
0,0,"[-184, 235, 38, -237, 65]",-143.85501242351953,-105.03371868941548,-135.8023314881936,-57.48710055625227,-46.43570085982255,-54.124900714884944,-58.97862767084659,-114.94243140958072,-57.84930018227012,91111.56,3492074.5,52.02066802978516,tensor(510474.1562),392103.62,150919,0.0,1593.6092375770327,218.06743737883096,291.71002484703905,275.6046629763872,122.97420111250455,96.8714017196451,112.24980142976989,125.95725534169318,233.88486281916144,119.69860036454024,0.9999999999999999,0.9995403200313641,0.9580863953170041,2.957626715348368,3492022.47933197,informative,1868.7093139383664
0,0,"[-114, 53, -50, 142, -11]",-112.59032137659082,-82.44274572020427,-104.35620907583488,-102.18185411442592,-45.232267947364704,-100.92564840325852,-58.54061428529998,-107.81322951861108,-57.4412448064283,38660.434,513698.06,12.966760635375977,tensor(30431.),57164.773,38590,0.0,1063.836931657488,172.88549144040854,229.18064275318164,212.71241815166977,212.36370822885183,94.46453589472941,205.85129680651704,125.08122857059996,219.62645903722216,118.8824896128566,0.9999999999994034,1.0,0.9568667291867844,2.9568667291861876,513685.0932393646,informative,716.7273261150297
0,0,"[108, -67, -114, -99, -37]",-112.38088929053268,-85.06419486124358,-96.94356298007382,-58.998840681199816,-49.3735063531776,-58.03899686029736,-60.02731818132757,-108.82576522123516,-58.94351543479743,24811.621,608027.44,31.270448684692383,tensor(33442.),37179.074,40319,0.0,1012.9105722056606,178.12838972248716,228.76177858106536,197.88712596014764,125.99768136239963,102.7470127063552,120.07799372059472,128.05463636265515,221.65153044247032,121.88703086959487,0.9999999999898819,0.9998186611540871,0.9562196578300041,2.956038318973973,607996.1695513153,informative,779.7611429149313
0,0,"[89, -145, -189, 214, -7]",-203.1937920616359,-114.58749311422464,-189.34800183755,-56.3371721336143,-51.42866080439878,-56.5812908699468,-60.26387646043743,-111.36316325933288,-59.011716466752695,327731.06,1509692.9,29.52983665466309,tensor(110866.9844),109508.75,110512,0.0,2348.913730843783,237.17498622844928,410.3875841232718,382.6960036751,120.6743442672286,106.85732160879756,117.1625817398936,128.52775292087486,226.72632651866576,122.02343293350539,1.0,0.9932622885130222,0.9627506514649389,2.956012939977961,1509663.3701633452,informative,1228.6956091725892
0,0,"[-141, 153, 210, 178, 111]",-129.60329886252617,-93.7677171154493,-119.83428312232633,-63.04744127388058,-36.30006924747727,-63.04529097965366,-59.965563095933206,-110.9099385240113,-58.91789334650243,45964.496,2026994.8,52.64630889892578,tensor(321667.),136877.34,131395,0.0,1377.1465295592382,195.5354342308986,263.20659772505235,243.66856624465265,134.09488254776116,76.60013849495454,130.09058195930731,127.93112619186641,225.8198770480226,121.83578669300486,0.9999999999999979,0.9999999999972476,0.9546818162672498,2.9546818162644954,2026942.1536911011,informative,1423.7256758238225
0,0,"[17, -13, 243, 61, -9]",-138.06056944208723,-111.01890535380872,-138.1853771671769,-70.8777305501725,-42.92191293277332,-65.00816568449545,-59.80982232247106,-113.60391275834716,-58.763119810441175,11179.173,1756219.2,18.206727981567383,tensor(195894.),135805.03,63309,0.0,1545.0902527472365,230.03781070761744,280.12113888417446,280.3707543343538,149.755461100345,89.84382586554663,134.0163313689909,127.61964464494211,231.20782551669433,121.52623962088235,0.9999999999866789,0.999999999744007,0.9546399508684712,2.954639950599157,1756200.9932720184,informative,1325.2242074456683
0,0,"[199, 61, 189, -118, -203]",-140.20195787395866,-92.8185050590327,-132.03865730451167,-48.49186106673628,-37.778132304008565,-64.03124365705844,-56.92986442446206,-118.12608895563572,-55.88732203582938,56438.836,21272372.0,45.24991607666016,tensor(2731883.),404636.12,134176,0.0,1641.4037309346197,193.6370101180654,284.4039157479173,268.07731460902335,104.98372213347255,79.55626460801713,132.06248731411688,121.85972884892412,240.25217791127145,115.77464407165876,1.0,0.9999969904814864,0.9544594659610244,2.954456456442511,21272326.750083923,informative,4612.198174406646
0,0,"[-32, 39, 75, 175, 6]",-107.39096605744092,-85.03073751171414,-103.39196443302984,-45.28644499998424,-26.217955806682035,-42.60577448440455,-54.18773420255849,-107.5026920774986,-53.5123682369271,6145.6094,10645.737,7.832853317260742,tensor(35207.),50487.797,38831,0.0,1334.4478558865069,178.06147502342827,218.78193211488184,210.78392886605968,98.57288999996848,56.43591161336407,89.2115489688091,116.37546840511698,219.0053841549972,111.0247364738542,0.9999999985623105,0.9999999229328479,0.9355573016879498,2.935557223183108,10637.904146682738,easy,103.17818083296487
0,0,"[62, -42, -30, -140, -30]",-104.91733700786976,-79.59246081035704,-99.39368132240244,-50.25251425855251,-24.70500475552618,-47.94856307710526,-58.82398653622052,-108.20635934950246,-58.14217711590105,36395.61,15072.682,7.730478286743164,tensor(35164.),64598.46,27008,0.0,1249.288715980709,167.18492162071408,213.83467401573952,202.7873626448049,108.50502851710502,53.41000951105236,99.89712615421053,125.64797307244103,220.41271869900493,120.2843542318021,0.999999999925846,0.9999999999184768,0.9359446879829597,2.9359446878272824,15064.951521713258,easy,122.77085158945506
0,0,"[-7, -47, -67, -56, 11]",-120.54652005234333,-90.08823325185053,-102.42727831237266,-23.75084662384177,-79.05917539217802,-23.54569961113368,-55.70519267429721,-99.8417487474027,-55.64871112343094,17685.352,15706.881,0.6482546925544739,tensor(32347.),16901.238,10004,0.0,1493.603385311856,188.17646650370105,245.09304010468665,208.85455662474533,55.50169324768354,162.11835078435604,51.09139922226736,119.41038534859442,203.6834974948054,115.29742224686188,0.9999999999995628,7.004693702096401e-25,0.8866009068564213,1.8866009068559841,15706.232745307445,easy,125.32709603274145
0,0,"[115, 61, 51, 144, 47]",-120.727676496727,-98.7071370718286,-114.2356418953004,-59.88057522729942,-72.71337610588493,-54.26801652675434,-60.31013911415965,-107.61329094678167,-59.482234162994,2189045.8,16886.098,33.44322967529297,tensor(141567.),53642.4,42492,0.0,1127.9225849468867,205.4142741436572,245.455352993454,232.4712837906008,127.76115045459883,149.42675221176987,112.53603305350867,128.6202782283193,219.22658189356335,122.964468325988,0.9999999979807495,9.751412676668386e-09,0.9441652596358384,1.9441652673680005,16852.65477032471,easy,129.946519768711
0,0,"[-8, 40, 5, -85, 52]",-108.80606145701285,-90.78916608311152,-104.37962925409472,-85.49898882241527,-89.87840841130125,-87.82117797265813,-59.17309569338048,-105.338767942068,-58.65913999106088,89260.56,17012.555,1.6044769287109375,tensor(132577.),24047.363,11618,0.0,759.6279431673653,189.57833216622305,221.6121229140257,212.75925850818945,178.99797764483054,183.7568168226025,179.64235594531627,126.34619138676096,214.677535884136,121.31827998212177,0.9999998893501897,0.05096085838070119,0.9251143939365668,1.9760751416674576,17010.95052307129,easy,130.43218544515767
0,0,"[-122, 71, -217, 131, 165]",-147.55817883113153,-110.2999179336229,-145.31076708396537,-47.66239294957214,-48.040177257217394,-65.12625652665889,-58.996005228644,-116.51909154144866,-58.84448985780809,64511.117,20961.027,5.692559719085693,tensor(1774230.),409953.44,111400,0.0,1716.0960581574832,228.5998358672458,299.11635766226306,294.62153416793075,103.32478589914427,100.08035451443479,134.25251305331778,125.992010457288,237.03818308289732,121.68897971561618,0.9999999999999996,0.8351004477425353,0.895810297675183,2.730910745417718,20955.334440280913,easy,144.77923538960965
0,0,"[106, 40, -10, -191, 3]",-148.08568842606672,-98.86278358769997,-128.68137688058576,-63.51436659170757,-55.67629987531997,-56.04375213352566,-60.4320126179684,-109.85599500044415,-59.297664651018046,14116.087,21791.322,33.37265396118164,tensor(30720.),71932.03,49426,0.0,1454.1957202255023,205.72556717539993,300.17137685213345,261.3627537611715,135.02873318341514,115.35259975063994,116.08750426705132,128.8640252359368,223.7119900008883,122.59532930203609,1.0,0.5908245767605097,0.9582875389210781,2.549112115681588,21757.94934603882,easy,147.61884026099108
0,0,"[-152, 28, 59, 52, -57]",-186.4437291015868,-100.82839284859872,-159.26631363213428,-55.86488534399732,-62.068872060499615,-55.83150581598774,-56.4805279477842,-109.41450777124784,-55.970878141976826,59098.242,24934.781,55.05324935913086,tensor(247419.),68884.805,33322,0.0,1967.7766043323275,209.65678569719745,376.8874582031736,322.53262726426857,119.72977068799464,128.13774412099923,115.66301163197548,120.9610558955684,222.82901554249568,115.94175628395365,1.0,0.001725737911971384,0.9248155445238762,1.9265412824358474,24879.727750640868,easy,157.907507737916
0,0,"[48, -122, -147, 36, -31]",-127.89713180159406,-99.09786854923291,-123.8346976387179,-54.46864930019542,-34.92859412637103,-53.9212952722438,-55.14452810416035,-107.32681315872128,-54.459618457486286,30620.988,28225.188,6.881163120269775,tensor(7899.),53102.617,41054,0.0,1463.9559329036433,206.19573709846583,259.79426360318814,251.6693952774358,116.93729860039085,73.85718825274206,111.8425905444876,118.2890562083207,218.65362631744256,112.91923691497257,0.9999999999977026,0.999999993914312,0.9361303024517094,2.936130296363724,28218.30683687973,easy,168.00353567708032
0,0,"[-90, 48, 113, -11, 87]",-107.0320164324624,-76.22308583086655,-85.95344035928932,-60.95736907146469,-40.50087767884155,-60.32173165445742,-59.184470278082266,-108.8246305108743,-59.02093524420853,44479.875,32354.355,24.519960403442383,tensor(270418.),28494.822,30863,0.0,973.5350984634313,160.4461716617331,218.0640328649248,175.90688071857863,129.91473814292937,85.0017553576831,124.64346330891485,126.36894055616453,221.6492610217486,122.04187048841706,0.999999999999692,0.999999997357744,0.8969268181130103,2.8969268154704464,32329.835039596557,easy,179.87316364594247
